company,rating,headquarters,salary estimate,job type,size,type,sector,revenue
Astrix Technology Group,4.2,"South San Francisco, CA",102.0,Full-time,1 to 50 employees,company - private,business services,unknown / non-applicable
Nuro,4.2,"Mountain View, CA",142.5,Full-time,201 to 500 employees,company - private,information technology,unknown / non-applicable
JD.com,3.6,"Mountain View, CA",112.5,Full-time,5001 to 10000 employees,company - public,retail,unknown / non-applicable
Nextdoor,4.6,"San Francisco, CA",158.0,Full-time,201 to 500 employees,company - private,information technology,unknown / non-applicable
GSN Games,3.3,"San Francisco, CA",168.5,Contract,201 to 500 employees,company - private,media,unknown / non-applicable
Proclinical Staffing,4.2,"Brisbane, CA",106.5,Full-time,51 to 200 employees,company - private,business services,unknown / non-applicable
NCIRE,3.4,"San Francisco, CA",101.0,Full-time,201 to 500 employees,nonprofit organization,non-profit,$25 to $50 million (usd)
Hinge Health,4.6,"San Francisco, CA",109.5,Full-time,501 to 1000 employees,company - private,health care,$50 to $100 million (usd)
Diffbot,4.6,"Menlo Park, CA",139.0,Full-time,1 to 50 employees,company - private,information technology,unknown / non-applicable
DoorDash,3.9,"San Francisco, CA",193.5,Full-time,1001 to 5000 employees,company - public,information technology,unknown / non-applicable
Robinhood,4.3,"Menlo Park, CA",139.0,Full-time,501 to 1000 employees,company - private,finance,unknown / non-applicable
Change Research,3.0,"San Francisco, CA",94.0,Full-time,1 to 50 employees,company - private,business services,unknown / non-applicable
ThirdLove,3.6,"San Francisco, CA",103.5,Full-time,201 to 500 employees,company - private,retail,unknown / non-applicable
Webhelp Americas,3.2,"San Jose, CA",93.5,Full-time,10000+ employees,company - private,business services,$500 million to $1 billion (usd)
Gables Search Group,3.9,"Foster City, CA",154.5,Full-time,1 to 50 employees,company - private,business services,$1 to $5 million (usd)
Impossible Foods,4.3,"Redwood City, CA",120.5,Full-time,501 to 1000 employees,company - private,manufacturing,unknown / non-applicable
Uber,4.0,"Sunnyvale, CA",148.5,Full-time,10000+ employees,company - public,information technology,$10+ billion (usd)
Ursus,4.4,"San Francisco, CA",137.5,Full-time,1 to 50 employees,company - private,information technology,unknown / non-applicable
6sense,4.9,"San Francisco, CA",158.5,Full-time,201 to 500 employees,company - private,information technology,unknown / non-applicable
Ursus,4.4,"Burlingame, CA",143.0,Full-time,1 to 50 employees,company - private,information technology,unknown / non-applicable
Lucid Motors,4.1,"Newark, CA",109.0,Full-time,1001 to 5000 employees,company - private,manufacturing,unknown / non-applicable
Glu Mobile,4.2,"San Francisco, CA",149.5,Full-time,501 to 1000 employees,company - public,information technology,$100 to $500 million (usd)
Ursus,4.4,"Menlo Park, CA",86.5,Full-time,1 to 50 employees,company - private,information technology,unknown / non-applicable
Salesforce,4.4,"San Francisco, CA",199.0,Full-time,10000+ employees,company - public,information technology,$10+ billion (usd)
Johnson Controls,3.5,"San Jose, CA",114.0,Full-time,10000+ employees,company - public,manufacturing,$10+ billion (usd)
NVIDIA,4.7,"Santa Clara, CA",180.0,Full-time,10000+ employees,company - public,information technology,$5 to $10 billion (usd)
NGUSoft,4.4,"Fremont, CA",103.5,Full-time,1 to 50 employees,company - private,information technology,less than $1 million (usd)
Diffbot,4.6,"Mountain View, CA",138.0,Full-time,1 to 50 employees,company - private,information technology,unknown / non-applicable
Fyusion,3.6,"San Francisco, CA",151.0,Full-time,1 to 50 employees,company - private,information technology,unknown / non-applicable
Food Management Search,4.1,"South San Francisco, CA",133.5,Full-time,1 to 50 employees,company - private,business services,unknown / non-applicable
Mythic-AI,4.5,"San Francisco, CA",146.5,Full-time,51 to 200 employees,company - private,information technology,unknown / non-applicable
Varo,3.7,"San Francisco, CA",109.0,Full-time,51 to 200 employees,company - private,finance,unknown / non-applicable
Ursus,4.4,"San Francisco, CA",132.0,Full-time,1 to 50 employees,company - private,information technology,unknown / non-applicable
Salesforce,4.4,"San Francisco, CA",140.5,Full-time,10000+ employees,company - public,information technology,$10+ billion (usd)
Uber,4.0,"Palo Alto, CA",179.5,Full-time,10000+ employees,company - public,information technology,$10+ billion (usd)
Nuro,4.2,"Mountain View, CA",81.0,Full-time,201 to 500 employees,company - private,information technology,unknown / non-applicable
Salesforce,4.4,"San Francisco, CA",144.0,Full-time,10000+ employees,company - public,information technology,$10+ billion (usd)
Verkada,4.0,"San Mateo, CA",121.0,Full-time,501 to 1000 employees,company - private,information technology,unknown / non-applicable
Ursus,4.4,"Menlo Park, CA",84.5,Full-time,1 to 50 employees,company - private,information technology,unknown / non-applicable
Google,4.5,"Redwood City, CA",175.5,Full-time,10000+ employees,company - public,information technology,$10+ billion (usd)
Tesla,3.8,"Palo Alto, CA",148.0,Full-time,10000+ employees,company - public,manufacturing,$2 to $5 billion (usd)
Uber,4.0,"Sunnyvale, CA",177.0,Full-time,10000+ employees,company - public,information technology,$10+ billion (usd)
"Association For Energy Affordability, Inc.",2.8,"Emeryville, CA",78.0,Full-time,51 to 200 employees,company - private,transportation & logistics,$10 to $25 million (usd)
Ursus,4.4,"Menlo Park, CA",142.5,Full-time,1 to 50 employees,company - private,information technology,unknown / non-applicable
Ursus,4.4,"Fremont, CA",74.5,Full-time,1 to 50 employees,company - private,information technology,unknown / non-applicable
Ursus,4.4,"Sunnyvale, CA",85.5,Full-time,1 to 50 employees,company - private,information technology,unknown / non-applicable
Health at Scale Corporation,4.1,"San Jose, CA",134.0,Full-time,1 to 50 employees,company - public,information technology,unknown / non-applicable
Global Inc,3.8,"Dublin, CA",92.5,Full-time,1 to 50 employees,company - private,information technology,less than $1 million (usd)
Uber,4.0,"Sunnyvale, CA",171.0,Full-time,10000+ employees,company - public,information technology,$10+ billion (usd)
Tempus,3.3,"Redwood City, CA",139.5,Full-time,501 to 1000 employees,company - private,biotech & pharmaceuticals,unknown / non-applicable
Toyota Research Institute,3.8,"Los Altos, CA",136.5,Full-time,201 to 500 employees,subsidiary or business segment,business services,unknown / non-applicable
Benchling,5.0,"San Francisco, CA",134.0,Full-time,201 to 500 employees,company - private,information technology,$50 to $100 million (usd)
Agama Solutions,3.7,"San Francisco, CA",120.0,Full-time,51 to 200 employees,contract,information technology,$10 to $25 million (usd)
Food Management Search,4.1,"Oakland, CA",140.5,Full-time,1 to 50 employees,company - private,business services,unknown / non-applicable
Wyzant,4.1,"Palo Alto, CA",110.5,Full-time,51 to 200 employees,company - private,information technology,unknown / non-applicable
Stanford University,4.2,"Stanford, CA",63.5,Full-time,5001 to 10000 employees,college / university,education,unknown / non-applicable
DNA Script,5.0,"San Francisco, CA",96.0,Full-time,51 to 200 employees,company - private,biotech & pharmaceuticals,unknown / non-applicable
Ursus,4.4,"Menlo Park, CA",136.0,Full-time,1 to 50 employees,company - private,information technology,unknown / non-applicable
Salesforce,4.4,"San Francisco, CA",190.5,Full-time,10000+ employees,company - public,information technology,$10+ billion (usd)
Wing,2.1,"Palo Alto, CA",95.0,Full-time,51 to 200 employees,subsidiary or business segment,business services,$10 to $25 million (usd)
DNA Script,5.0,"San Francisco, CA",96.0,Full-time,51 to 200 employees,company - private,biotech & pharmaceuticals,unknown / non-applicable
Ursus,4.4,"Menlo Park, CA",136.0,Full-time,1 to 50 employees,company - private,information technology,unknown / non-applicable
Wing,2.1,"Palo Alto, CA",95.0,Full-time,51 to 200 employees,subsidiary or business segment,business services,$10 to $25 million (usd)
McAfee,3.6,"San Jose, CA",134.5,Full-time,5001 to 10000 employees,company - public,information technology,$10+ billion (usd)
Salesforce,4.4,"San Francisco, CA",190.5,Full-time,10000+ employees,company - public,information technology,$10+ billion (usd)
Carbon3D,3.7,"Redwood City, CA",135.5,Full-time,201 to 500 employees,company - private,information technology,unknown / non-applicable
Lucid Motors,4.1,"Newark, CA",140.0,Full-time,1001 to 5000 employees,company - private,manufacturing,unknown / non-applicable
California State University,4.3,"San Jose, CA",123.5,Part-time,201 to 500 employees,college / university,education,$1 to $5 million (usd)
Varo,3.7,"San Francisco, CA",164.5,Full-time,51 to 200 employees,company - private,finance,unknown / non-applicable
DNA Script,5.0,"San Francisco, CA",63.5,Full-time,51 to 200 employees,company - private,biotech & pharmaceuticals,unknown / non-applicable
Qualys,3.6,"Foster City, CA",141.5,Full-time,501 to 1000 employees,company - public,information technology,$100 to $500 million (usd)
Amobee,3.9,"Redwood City, CA",142.5,Full-time,501 to 1000 employees,company - private,business services,$500 million to $1 billion (usd)
Ursus,4.4,"Fremont, CA",136.0,Full-time,1 to 50 employees,company - private,information technology,unknown / non-applicable
Ursus,4.4,"Menlo Park, CA",161.0,Full-time,1 to 50 employees,company - private,information technology,unknown / non-applicable
Nuna,4.0,"San Francisco, CA",104.0,Full-time,51 to 200 employees,company - private,information technology,unknown / non-applicable
Bay Area Community Health,3.0,"Fremont, CA",112.0,Full-time,501 to 1000 employees,nonprofit organization,health care,unknown / non-applicable
Hinge Health,4.6,"San Francisco, CA",127.0,Full-time,501 to 1000 employees,company - private,health care,$50 to $100 million (usd)
Applied Materials Inc.,4.0,"Santa Clara, CA",144.0,Full-time,10000+ employees,company - public,manufacturing,$10+ billion (usd)
Susquehanna International Group,4.0,"Alameda, CA",146.5,Full-time,1001 to 5000 employees,company - private,finance,unknown / non-applicable
DTEX Systems,3.6,"San Jose, CA",123.5,Full-time,51 to 200 employees,company - private,information technology,$5 to $10 million (usd)
Baidu USA,3.9,"Sunnyvale, CA",141.0,Full-time,201 to 500 employees,company - public,information technology,$50 to $100 million (usd)
Cruise,3.6,"San Francisco, CA",161.5,Full-time,1001 to 5000 employees,company - private,information technology,unknown / non-applicable
Ursus,4.4,"Menlo Park, CA",113.0,Full-time,1 to 50 employees,company - private,information technology,unknown / non-applicable
Hinge Health,4.6,"San Francisco, CA",109.5,Full-time,501 to 1000 employees,company - private,health care,$50 to $100 million (usd)
Applied Materials Inc.,4.0,"Santa Clara, CA",116.5,Full-time,10000+ employees,company - public,manufacturing,$10+ billion (usd)
Microsoft,4.4,"Sunnyvale, CA",152.0,Full-time,10000+ employees,company - public,information technology,$10+ billion (usd)
Ursus,4.4,"Menlo Park, CA",96.0,Full-time,1 to 50 employees,company - private,information technology,unknown / non-applicable
Astrix Technology Group,4.2,"South San Francisco, CA",127.0,Full-time,1 to 50 employees,company - private,business services,unknown / non-applicable
Johnson Controls,3.5,"San Jose, CA",114.0,Full-time,10000+ employees,company - public,manufacturing,$10+ billion (usd)
NVIDIA,4.7,"Santa Clara, CA",180.0,Full-time,10000+ employees,company - public,information technology,$5 to $10 billion (usd)
NGUSoft,4.4,"Fremont, CA",103.5,Full-time,1 to 50 employees,company - private,information technology,less than $1 million (usd)
Ursus,4.4,"San Francisco, CA",132.0,Full-time,1 to 50 employees,company - private,information technology,unknown / non-applicable
Cruise,3.6,"San Francisco, CA",161.5,Full-time,1001 to 5000 employees,company - private,information technology,unknown / non-applicable
Salesforce,4.4,"San Francisco, CA",140.5,Full-time,10000+ employees,company - public,information technology,$10+ billion (usd)
"FibroGen, Inc.",3.7,"San Francisco, CA",115.0,Full-time,201 to 500 employees,company - public,biotech & pharmaceuticals,$100 to $500 million (usd)
Uber,4.0,"Palo Alto, CA",179.5,Full-time,10000+ employees,company - public,information technology,$10+ billion (usd)
Nuro,4.2,"Mountain View, CA",81.0,Full-time,201 to 500 employees,company - private,information technology,unknown / non-applicable
MATRIX Resources,4.3,"San Francisco, CA",111.0,Full-time,201 to 500 employees,company - private,business services,$100 to $500 million (usd)
"FibroGen, Inc.",3.7,"San Francisco, CA",117.0,Full-time,201 to 500 employees,company - public,biotech & pharmaceuticals,$100 to $500 million (usd)
Universities Space Research Association,3.6,"Mountain View, CA",123.5,Full-time,501 to 1000 employees,nonprofit organization,business services,$100 to $500 million (usd)
Verkada,4.0,"San Mateo, CA",121.0,Full-time,501 to 1000 employees,company - private,information technology,unknown / non-applicable
Salesforce,4.4,"San Francisco, CA",144.0,Full-time,10000+ employees,company - public,information technology,$10+ billion (usd)
EPM Scientific,2.3,"San Francisco, CA",120.5,Full-time,51 to 200 employees,company - public,business services,unknown / non-applicable
Amazon,3.8,"Santa Clara, CA",136.5,Full-time,10000+ employees,company - public,information technology,$10+ billion (usd)
JD.com,3.6,"Mountain View, CA",124.5,Full-time,5001 to 10000 employees,company - public,retail,unknown / non-applicable
Tubi,4.2,"San Francisco, CA",146.0,Full-time,51 to 200 employees,company - private,information technology,unknown / non-applicable
Google,4.5,"Redwood City, CA",175.5,Full-time,10000+ employees,company - public,information technology,$10+ billion (usd)
Ursus,4.4,"Menlo Park, CA",84.5,Full-time,1 to 50 employees,company - private,information technology,unknown / non-applicable
Bristol Myers Squibb,4.1,"Redwood City, CA",145.5,Full-time,10000+ employees,company - public,biotech & pharmaceuticals,$10+ billion (usd)
Uber,4.0,"Sunnyvale, CA",177.0,Full-time,10000+ employees,company - public,information technology,$10+ billion (usd)
Amazon,3.8,"Sunnyvale, CA",123.0,Full-time,10000+ employees,company - public,information technology,$10+ billion (usd)
Matroid,5.0,"Palo Alto, CA",124.5,Full-time,1 to 50 employees,company - private,information technology,unknown / non-applicable
Tesla,3.8,"Palo Alto, CA",148.0,Full-time,10000+ employees,company - public,manufacturing,$2 to $5 billion (usd)
Ursus,4.4,"Menlo Park, CA",142.5,Full-time,1 to 50 employees,company - private,information technology,unknown / non-applicable
NVIDIA,4.7,"Santa Clara, CA",186.5,Full-time,10000+ employees,company - public,information technology,$5 to $10 billion (usd)
"Association For Energy Affordability, Inc.",2.8,"Emeryville, CA",78.0,Full-time,51 to 200 employees,company - private,transportation & logistics,$10 to $25 million (usd)
Ursus,4.4,"Sunnyvale, CA",85.5,Full-time,1 to 50 employees,company - private,information technology,unknown / non-applicable
Ursus,4.4,"Fremont, CA",74.5,Full-time,1 to 50 employees,company - private,information technology,unknown / non-applicable
JD.com,3.6,"Mountain View, CA",104.5,Full-time,5001 to 10000 employees,company - public,retail,unknown / non-applicable
TEKPLAY SYSTEMS,3.6,"San Jose, CA",97.0,Full-time,501 to 1000 employees,company - private,business services,unknown / non-applicable
TechTrueUP,3.6,"South San Francisco, CA",86.5,Full-time,51 to 200 employees,company - private,business services,unknown / non-applicable
Global Inc,3.8,"Dublin, CA",92.5,Full-time,1 to 50 employees,company - private,information technology,less than $1 million (usd)
Cadence Design Systems,4.4,"San Jose, CA",137.0,Full-time,5001 to 10000 employees,company - public,information technology,$1 to $2 billion (usd)
Health at Scale Corporation,4.1,"San Jose, CA",134.0,Full-time,1 to 50 employees,company - public,information technology,unknown / non-applicable
Uber,4.0,"Sunnyvale, CA",171.0,Full-time,10000+ employees,company - public,information technology,$10+ billion (usd)
3T Biosciences,4.1,"South San Francisco, CA",95.5,Full-time,1 to 50 employees,company - private,biotech & pharmaceuticals,unknown / non-applicable
Catalyst Biosciences,4.2,"South San Francisco, CA",119.0,Full-time,1 to 50 employees,company - public,biotech & pharmaceuticals,less than $1 million (usd)
Gilead Sciences,3.8,"Foster City, CA",130.0,Full-time,10000+ employees,company - public,biotech & pharmaceuticals,$10+ billion (usd)
Food Management Search,4.1,"Oakland, CA",103.0,Full-time,1 to 50 employees,company - private,business services,unknown / non-applicable
TechTrueUP,3.6,"South San Francisco, CA",86.5,Full-time,51 to 200 employees,company - private,business services,unknown / non-applicable
Cadence Design Systems,4.4,"San Jose, CA",137.0,Full-time,5001 to 10000 employees,company - public,information technology,$1 to $2 billion (usd)
TEKPLAY SYSTEMS,3.6,"San Jose, CA",97.0,Full-time,501 to 1000 employees,company - private,business services,unknown / non-applicable
"Nkarta, Inc.",5.0,"South San Francisco, CA",130.5,Full-time,1 to 50 employees,company - public,biotech & pharmaceuticals,unknown / non-applicable
Health at Scale Corporation,4.1,"San Jose, CA",134.0,Full-time,1 to 50 employees,company - public,information technology,unknown / non-applicable
AT&T,3.7,"San Ramon, CA",125.0,Full-time,10000+ employees,company - public,telecommunications,$10+ billion (usd)
Stanford University,4.2,"Stanford, CA",63.5,Full-time,5001 to 10000 employees,college / university,education,unknown / non-applicable
Ursus,4.4,"Menlo Park, CA",136.0,Full-time,1 to 50 employees,company - private,information technology,unknown / non-applicable
Wing,2.1,"Palo Alto, CA",95.0,Full-time,51 to 200 employees,subsidiary or business segment,business services,$10 to $25 million (usd)
DNA Script,5.0,"San Francisco, CA",96.0,Full-time,51 to 200 employees,company - private,biotech & pharmaceuticals,unknown / non-applicable
3T Biosciences,4.1,"South San Francisco, CA",95.5,Full-time,1 to 50 employees,company - private,biotech & pharmaceuticals,unknown / non-applicable
Alexa Internet,3.8,"San Francisco, CA",147.0,Full-time,10000+ employees,company - public,information technology,$10+ billion (usd)
McAfee,3.6,"San Jose, CA",134.5,Full-time,5001 to 10000 employees,company - public,information technology,$10+ billion (usd)
Salesforce,4.4,"San Francisco, CA",190.5,Full-time,10000+ employees,company - public,information technology,$10+ billion (usd)
NVIDIA,4.7,"Santa Clara, CA",176.0,Full-time,10000+ employees,company - public,information technology,$5 to $10 billion (usd)
Sigma Inc,4.1,"Fremont, CA",130.0,Full-time,51 to 200 employees,company - private,accounting & legal,$10 to $25 million (usd)
Stanford University,4.2,"Stanford, CA",37.0,Full-time,5001 to 10000 employees,college / university,education,unknown / non-applicable
"CytomX Therapeutics, Inc.",3.4,"South San Francisco, CA",112.0,Full-time,51 to 200 employees,company - public,biotech & pharmaceuticals,unknown / non-applicable
On-Board Companies,3.4,"San Jose, CA",114.5,Contract,1001 to 5000 employees,company - private,business services,$25 to $50 million (usd)
Carbon3D,3.7,"Redwood City, CA",135.5,Full-time,201 to 500 employees,company - private,information technology,unknown / non-applicable
10x Genomics,4.1,"Pleasanton, CA",100.0,Full-time,501 to 1000 employees,company - public,biotech & pharmaceuticals,unknown / non-applicable
Lucid Motors,4.1,"Newark, CA",140.0,Full-time,1001 to 5000 employees,company - private,manufacturing,unknown / non-applicable
Cree Inc,3.4,"Morgan Hill, CA",145.0,Full-time,5001 to 10000 employees,company - public,manufacturing,$1 to $2 billion (usd)
Carnegie Institution,4.3,"Stanford, CA",85.0,Full-time,501 to 1000 employees,nonprofit organization,business services,unknown / non-applicable
Covered California,3.8,"Sacramento, CA",69.5,Full-time,1001 to 5000 employees,government,government,unknown / non-applicable
County of San Mateo,4.0,"San Mateo, CA",108.5,Full-time,5001 to 10000 employees,government,government,$1 to $5 million (usd)
"CytomX Therapeutics, Inc.",3.4,"South San Francisco, CA",112.0,Full-time,51 to 200 employees,company - public,biotech & pharmaceuticals,unknown / non-applicable
APTIM,3.4,"Concord, CA",91.0,Full-time,1001 to 5000 employees,contract,"construction, repair & maintenance",unknown / non-applicable
On-Board Companies,3.4,"San Jose, CA",114.5,Contract,1001 to 5000 employees,company - private,business services,$25 to $50 million (usd)
Carbon3D,3.7,"Redwood City, CA",135.5,Full-time,201 to 500 employees,company - private,information technology,unknown / non-applicable
Lucid Motors,4.1,"Newark, CA",140.0,Full-time,1001 to 5000 employees,company - private,manufacturing,unknown / non-applicable
10x Genomics,4.1,"Pleasanton, CA",100.0,Full-time,501 to 1000 employees,company - public,biotech & pharmaceuticals,unknown / non-applicable
Carnegie Institution,4.3,"Stanford, CA",85.0,Full-time,501 to 1000 employees,nonprofit organization,business services,unknown / non-applicable
Cree Inc,3.4,"Morgan Hill, CA",145.0,Full-time,5001 to 10000 employees,company - public,manufacturing,$1 to $2 billion (usd)
California State University,4.3,"San Jose, CA",123.5,Part-time,201 to 500 employees,college / university,education,$1 to $5 million (usd)
Glu Mobile,4.2,"San Francisco, CA",144.0,Full-time,501 to 1000 employees,company - public,information technology,$100 to $500 million (usd)
"Upstart Network, Inc.",4.4,"San Mateo, CA",120.0,Full-time,201 to 500 employees,company - public,finance,unknown / non-applicable
ALSTEM,3.7,"Richmond, CA",136.5,Full-time,1 to 50 employees,company - private,biotech & pharmaceuticals,less than $1 million (usd)
Freenome Holdings,4.9,"South San Francisco, CA",136.5,Full-time,51 to 200 employees,company - private,biotech & pharmaceuticals,unknown / non-applicable
Varo,3.7,"San Francisco, CA",164.5,Full-time,51 to 200 employees,company - private,finance,unknown / non-applicable
Qualys,3.6,"Foster City, CA",141.5,Full-time,501 to 1000 employees,company - public,information technology,$100 to $500 million (usd)
Amobee,3.9,"Redwood City, CA",142.5,Full-time,501 to 1000 employees,company - private,business services,$500 million to $1 billion (usd)
Squadex,3.0,"Palo Alto, CA",136.0,Full-time,1 to 50 employees,company - private,information technology,unknown / non-applicable
Minaris Regenerative Medicine,3.1,"Mountain View, CA",91.0,Full-time,201 to 500 employees,subsidiary or business segment,biotech & pharmaceuticals,$50 to $100 million (usd)
Poshmark,4.6,"Redwood City, CA",161.0,Full-time,201 to 500 employees,company - public,information technology,$100 to $500 million (usd)
Tempus,3.3,"Redwood City, CA",104.5,Full-time,501 to 1000 employees,company - private,biotech & pharmaceuticals,unknown / non-applicable
Sensor Tower,4.0,"San Francisco, CA",152.0,Full-time,51 to 200 employees,company - private,business services,unknown / non-applicable
Salesforce,4.4,"San Francisco, CA",164.5,Full-time,10000+ employees,company - public,information technology,$10+ billion (usd)
"LotusFlare, Inc.",4.3,"Santa Clara, CA",125.5,Full-time,201 to 500 employees,company - private,information technology,unknown / non-applicable
Ursus,4.4,"San Francisco, CA",153.5,Full-time,1 to 50 employees,company - private,information technology,unknown / non-applicable
Salesforce,4.4,"San Francisco, CA",139.5,Full-time,10000+ employees,company - public,information technology,$10+ billion (usd)
Nurix,4.0,"San Francisco, CA",148.0,Full-time,51 to 200 employees,company - public,biotech & pharmaceuticals,unknown / non-applicable
Blue River Technology,4.5,"Sunnyvale, CA",129.0,Full-time,51 to 200 employees,subsidiary or business segment,information technology,unknown / non-applicable
Varo,3.7,"San Francisco, CA",139.5,Full-time,51 to 200 employees,company - private,finance,unknown / non-applicable
"GRAIL, Inc.",3.4,"Menlo Park, CA",95.0,Full-time,201 to 500 employees,company - private,biotech & pharmaceuticals,unknown / non-applicable
SpanIdea,3.8,"Milpitas, CA",160.0,Full-time,501 to 1000 employees,company - private,information technology,$10 to $25 million (usd)
Stanford University,4.2,"Stanford, CA",56.5,Full-time,5001 to 10000 employees,college / university,education,unknown / non-applicable
Stanford University,4.2,"Stanford, CA",122.5,Full-time,5001 to 10000 employees,college / university,education,unknown / non-applicable
Freenome Holdings,4.9,"South San Francisco, CA",136.5,Full-time,51 to 200 employees,company - private,biotech & pharmaceuticals,unknown / non-applicable
Lyra Health,4.6,"Burlingame, CA",147.5,Full-time,201 to 500 employees,company - private,health care,$100 to $500 million (usd)
CA-One Tech Cloud Inc,5.0,"Mountain View, CA",95.5,Full-time,51 to 200 employees,company - private,information technology,$10 to $25 million (usd)
Salesforce,4.4,"San Francisco, CA",131.0,Full-time,10000+ employees,company - public,information technology,$10+ billion (usd)
Tempus,3.3,"Redwood City, CA",147.0,Full-time,501 to 1000 employees,company - private,biotech & pharmaceuticals,unknown / non-applicable
Eurofins Central Laboratory,3.3,"Foster City, CA",77.0,Full-time,10000+ employees,company - private,biotech & pharmaceuticals,$2 to $5 billion (usd)
MATRIX Resources,4.3,"San Francisco, CA",141.5,Full-time,201 to 500 employees,company - private,business services,$100 to $500 million (usd)
Oxford Global Resources,3.6,"San Jose, CA",105.5,Full-time,501 to 1000 employees,subsidiary or business segment,business services,$100 to $500 million (usd)
Coherus BioSciences,4.4,"Redwood City, CA",120.0,Full-time,201 to 500 employees,company - public,biotech & pharmaceuticals,$100 to $500 million (usd)
SRA OSS,3.5,"San Jose, CA",98.0,Full-time,51 to 200 employees,company - private,information technology,$10 to $25 million (usd)
BEPC Inc,3.7,"South San Francisco, CA",84.0,Full-time,51 to 200 employees,company - private,business services,$10 to $25 million (usd)
County of San Mateo,4.0,"San Mateo, CA",121.0,Full-time,5001 to 10000 employees,government,government,$1 to $5 million (usd)
Varo,3.7,"San Francisco, CA",138.0,Full-time,51 to 200 employees,company - private,finance,unknown / non-applicable
Varo,3.7,"San Francisco, CA",138.0,Full-time,51 to 200 employees,company - private,finance,unknown / non-applicable
Bloom Energy,3.8,"San Jose, CA",149.5,Full-time,1001 to 5000 employees,company - public,"oil, gas, energy & utilities",$100 to $500 million (usd)
Uber,4.0,"Sunnyvale, CA",145.0,Full-time,10000+ employees,company - public,information technology,$10+ billion (usd)
Amazon,3.8,"Palo Alto, CA",164.5,Full-time,10000+ employees,company - public,information technology,$10+ billion (usd)
"LakePharma, Inc.",2.5,"Hayward, CA",110.0,Full-time,201 to 500 employees,company - private,biotech & pharmaceuticals,$25 to $50 million (usd)
County of Contra Costa,4.0,"Martinez, CA",47.0,Full-time,10000+ employees,government,government,$1 to $2 billion (usd)
Glu Mobile,4.2,"San Francisco, CA",144.0,Full-time,501 to 1000 employees,company - public,information technology,$100 to $500 million (usd)
Amazon,3.8,"Palo Alto, CA",170.0,Full-time,10000+ employees,company - public,information technology,$10+ billion (usd)
California State University,4.3,"San Jose, CA",123.5,Part-time,201 to 500 employees,college / university,education,$1 to $5 million (usd)
Varo,3.7,"San Francisco, CA",164.5,Full-time,51 to 200 employees,company - private,finance,unknown / non-applicable
Twist Bioscience,4.2,"South San Francisco, CA",109.5,Full-time,51 to 200 employees,company - public,biotech & pharmaceuticals,$10 to $25 million (usd)
Codexis,3.2,"Redwood City, CA",112.0,Full-time,51 to 200 employees,company - public,biotech & pharmaceuticals,$25 to $50 million (usd)
Qualys,3.6,"Foster City, CA",141.5,Full-time,501 to 1000 employees,company - public,information technology,$100 to $500 million (usd)
DNA Script,5.0,"San Francisco, CA",63.5,Full-time,51 to 200 employees,company - private,biotech & pharmaceuticals,unknown / non-applicable
Sutro Biopharma,4.1,"San Carlos, CA",153.0,Full-time,51 to 200 employees,company - public,biotech & pharmaceuticals,unknown / non-applicable
Amobee,3.9,"Redwood City, CA",142.5,Full-time,501 to 1000 employees,company - private,business services,$500 million to $1 billion (usd)
ALSTEM,3.7,"Richmond, CA",136.5,Full-time,1 to 50 employees,company - private,biotech & pharmaceuticals,less than $1 million (usd)
Stanford University,4.2,"Stanford, CA",122.5,Full-time,5001 to 10000 employees,college / university,education,unknown / non-applicable
Upstart,4.4,"San Mateo, CA",167.0,Full-time,201 to 500 employees,company - public,finance,unknown / non-applicable
Ursus,4.4,"Fremont, CA",136.0,Full-time,1 to 50 employees,company - private,information technology,unknown / non-applicable
Squadex,3.0,"Palo Alto, CA",136.0,Full-time,1 to 50 employees,company - private,information technology,unknown / non-applicable
KLA-Tencor,3.9,"Milpitas, CA",154.0,Full-time,5001 to 10000 employees,company - public,manufacturing,$2 to $5 billion (usd)
Minaris Regenerative Medicine,3.1,"Mountain View, CA",91.0,Full-time,201 to 500 employees,subsidiary or business segment,biotech & pharmaceuticals,$50 to $100 million (usd)
Poshmark,4.6,"Redwood City, CA",161.0,Full-time,201 to 500 employees,company - public,information technology,$100 to $500 million (usd)
Verb Surgical,3.5,"Mountain View, CA",101.5,Full-time,201 to 500 employees,company - private,health care,unknown / non-applicable
SADA,4.8,"San Francisco, CA",142.0,Full-time,201 to 500 employees,company - private,information technology,$100 to $500 million (usd)
Mirabilis Design,4.7,"Sunnyvale, CA",133.5,Full-time,1 to 50 employees,company - private,retail,$1 to $5 million (usd)
Kaiser Permanente,4.0,"Oakland, CA",126.5,Full-time,10000+ employees,nonprofit organization,health care,$10+ billion (usd)
Ursus,4.4,"Menlo Park, CA",161.0,Full-time,1 to 50 employees,company - private,information technology,unknown / non-applicable
Sensor Tower,4.0,"San Francisco, CA",152.0,Full-time,51 to 200 employees,company - private,business services,unknown / non-applicable
"LotusFlare, Inc.",4.3,"Santa Clara, CA",125.5,Full-time,201 to 500 employees,company - private,information technology,unknown / non-applicable
"University of California, Davis",4.4,"Davis, CA",51.0,Full-time,10000+ employees,college / university,education,$1 to $2 billion (usd)
Ursus,4.4,"San Francisco, CA",153.5,Full-time,1 to 50 employees,company - private,information technology,unknown / non-applicable
